Date,Price,Type,Index,Diff_Percent
2020-03-23 15:47:00,127.19,Low,1715340,-7.833333333333337
2020-03-24 08:31:00,144.16,High,1716344,13.342243887098038
2020-03-24 16:08:00,134.76,Low,1716801,-6.520532741398455
2020-03-25 09:39:00,142.79,High,1717852,5.95874146631048
2020-03-25 21:55:00,132.5,Low,1718588,-7.20638700189088
2020-03-27 00:19:00,142.5,High,1720171,7.547169811320753
2020-03-28 03:39:00,125.01,Low,1721811,-12.273684210526314
2020-03-28 20:35:00,133.8,High,1722824,7.031437485001213
2020-03-29 20:27:00,123.72,Low,1724229,-7.533632286995529
2020-03-30 21:08:00,135.48,High,1725704,9.505334626576122

